	(1)	(2)	(3)	(4)
_Iind6090_801	0.198		-0.103	
	[0.463]		[0.511]	
_Iind6090_802	0.553***		0.197	
	[0.157]		[0.151]	
_Iind6090_826	0.712***		0.781***	
	[0.125]		[0.105]	
_Iind6090_831	2.353***		0.683***	
	[0.138]		[0.115]	
_Iind6090_841	1.983***		0.634***	
	[0.263]		[0.183]	
_Iind6090_856	0.455***		0.498***	
	[0.111]		[0.105]	
_Iind6090_876	-0.167		1.158***	
	[0.164]		[0.152]	
_Iind6090_881	0.877***		0.646***	
	[0.210]		[0.175]	
_Iind6090_882	1.929***		0.796***	
	[0.260]		[0.175]	
_Iind6090_890	3.059***		-0.270*	
	[0.163]		[0.152]	
_Iind6090_901	1.637***		0.599***	
	[0.131]		[0.113]	
math		-0.124***		-0.195***
		[0.023]		[0.014]
number_facility		0.634***		-0.045***
		[0.017]		[0.010]
reason		0.374***		0.057***
		[0.022]		[0.012]
info_use		-1.015***		0.880***
		[0.022]		[0.013]
				
Observations	133,599	133,599	133,599	133,599
R-squared	0.204	0.237	0.305	0.668
Robust standard errors in brackets				
*** p<0.01, ** p<0.05, * p<0.10				
